name,gender,wikidata,type
"Place Charles Simonet",,,way
"Place Édouard Arcq",,,way
"Place Jean-Claude Carpentier",,,way
"Place Léopold",,,way
"Place Louise",,,way
"Place Nervienne",,,way
"Place Paul Heupgen",,,way
"Place Régnier au Long Col",,,way
"Place Roger de Looze",,,way
"Place Saint-Germain",,,way
"Place Spira",,,way
"Place Triangulaire",,,way
"Place Warocqué",,,way
"Place d'Harmignies",,,way
"Place d'Harvengt",,,way
"Place d'Havré",,,way
"Place d'Hyon",,,way
"Place d'Obourg",,,way
"Place de Bootle",,,way
"Place de Briare",,,way
"Place de Ciply",,,way
"Place de Cuesmes",,,relation
"Place de Flandre",,,way
"Place de Ghlin",,,way
"Place de Jéricho",,,way
"Place de Maisières",,,way
"Place de Mesvin",,,way
"Place de Nimy",,,way
"Place de Saint-Denis",,,way
"Place de Saint-Symphorien",,,way
"Place de Spiennes",,,way
"Place de Vannes",,,way
"Place de la Bergeronnette",,,way
"Place de la Chapelle",,,way
"Place de la Citadelle",,,way
"Place de la Gare",,,way
"Place de la Perche",,,way
"Place des Alliés",,,way
"Place des Archers",,,way
"Place des Chasseurs-à-Pied",,,way
"Place des Martyrs",,,way
"Place du Béguinage",,,way
"Place du Busteau",,,way
"Place du Chapitre",,,way
"Place du Chardonneret",,,way
"Place du Manège",,,way
"Place du Marais à Criquelions",,,way
"Place du Marché aux Poissons",,,way
"Place du Parc",,,way
"Place du Souvenir",,,way
"Plat Chemin",,,way
"Pont Clara (RAVeL de la Ligne 98)",,,way
"Quai Sud",,,way
"Quai des Anglais",,,way
"Quai des Otages",,,way
"RAVeL 1",,,way
"RAVeL de la Ligne 98",,,way
"RAVeL de la Ligne 98C",,,way
"Rampe Borgnagache",,,way
"Rampe Sainte-Waudru",,,way
"Rampe du Château",,,way
"Résidence Charles Plisnier",,,way
"Résidence Christina Lodges",,,way
"Résidence François André",,,way
"Résidence Le Festinoy",,,way
"Résidence Moncoureur",,,way
"Résidence Saint-Géry",,,way
"Résidence de Milfort",,,way
"Résidence de la Bascule",,,way
"Résidence des Agasses",,,way
"Résidence des Baudarts",,,way
"Résidence des Mortes Haies",,,way
"Résidence du Rieu",,,way
"Résidences La Prairie",,,way
"Rive Droite du Canal du Centre",,,way
"Rive Gauche du Canal",,,way
"Rive Gauche du canal",,,way
"Rond-Point du Pont-Canal",,,way
"Rond-Point du Trieu",,,way
"Route Industrielle",,,way
"Route Macadamisée",,,way
"Route Provinciale - Rue de Pâturages",,,way
"Route d'Ath",,,way
"Route d'Harmignies",,,way
"Route d'Obourg",,,way
"Route de Wallonie",,,way
"Rue A. Jauniaux",,,way
"Rue Achille Legrand",,,way
"Rue Adolphe Pécher",,,way
"Rue Adonis Descamps",,,way
"Rue Albert 1er",,,way
"Rue Albert Clerfayt",,,way
"Rue Albert Defrise",,,way
"Rue André Masquelier",,,way
"Rue Anto Carte",,,way
"Rue Antoine Bourlard",,,way
"Rue Antoine Clesse",,,way
"Rue Aramis Tournay",,,way
"Rue Arbre Saule",,,way
"Rue Arthur Collier",,,way
"Rue Arthur Duquesnes",,,way
"Rue Arthur Durant",,,way
"Rue Astrid",,,way
"Rue Auguste Capron",,,way
"Rue Auguste Lambert",,,way
"Rue Auguste Nicodème",,,way
"Rue Augustin Brohée",,,way
"Rue Barbet",,,way
"Rue Baron Alfred Bonaert",,,way
"Rue Baron Dubois de Chantraine",,,way
"Rue Basse",,,way
"Rue Basse-cour",,,way
"Rue Baudelet",,,way
"Rue Berlanger",,,way
"Rue Blancart",,,way
"Rue Borette",,,way
"Rue Boulangé de La Hainière",,,way
"Rue Briffaut",,,way
"Rue Brisée",,,way
"Rue Brisée - Rue de Binche",,,way
"Rue Brisselot",,,way
"Rue Brunehaut",,,way
"Rue Bruno Lebrun",,,way
"Rue Bruyères de Jurbise",,,way
"Rue Buisseret",,,way
"Rue Camille Leroy",,,way
"Rue Camille Toussaint",,,way
"Rue Caporal Trésignies",,,way
"Rue Cardinal Mercier",,,way
"Rue Chapelle du Curé",,,way
"Rue Charles Perin",,,way
"Rue Charles Piron",,,way
"Rue Charon",,,way
"Rue Chisaire",,,way
"Rue Circulaire",,,way
"Rue Claude de Bettignies",,,way
"Rue Clémenceau",,,way
"Rue Colinet",,,way
"Rue Comte Cornet",,,way
"Rue Cospeau",,,way
"Rue Courte",,,way
"Rue Croisette",,,way
"Rue Cronque",,,way
"Rue Dampierre",,,way
"Rue David",,,way
"Rue Delaunois",,,way
"Rue Delpierre",,,way
"Rue Demalzine",,,way
"Rue Devaux",,,way
"Rue Devreux",,,way
"Rue Docteur Albert Schweitzer",,,way
"Rue Docteur Wolkas",,,way
"Rue Doyen",,,way
"Rue Dubreucq",,,way
"Rue Dumouriez",,,way
"Rue Durant",,,way
"Rue Édouard Dewèze",,,way
"Rue Éleuthère Mercier",,,way
"Rue Élisa",,,way
"Rue Émile Blairon",,,way
"Rue Émile Jambe",,,way
"Rue Émile Limauge",,,way
"Rue Émile Vandervelde",,,way
"Rue Éva Dupont",,,way
"Rue Fariaux",,,way
"Rue Fassiau",,,way
"Rue Félix Maigret de Priches",,,way
"Rue Félix Nihoul",,,way
"Rue Félix Reghem",,,way
"Rue Fernand Bouteiller",,,way
"Rue Fernand Huart",,,way
"Rue Fernand Maréchal",,,way
"Rue Fernand Piron",,,way
"Rue Fernand Quenon",,,way
"Rue Ferrer",,,way
"Rue Florimond Lemoine",,,way
"Rue Fontaine Tordeur",,,way
"Rue Franche",,,way
"Rue François André",,,way
"Rue François Fétis",,,way
"Rue François Marcq",,,way
"Rue Frébutte",,,way
"Rue Frérot",,,way
"Rue Froissart",,,way
"Rue Gabrielle Petit",,,way
"Rue Galilée",,,way
"Rue Général Leman",,,way
"Rue Genestrois",,,way
"Rue Georges Delporte",,,way
"Rue Georges Mabile",,,way
"Rue Georges Plumart",,,way
"Rue Georges Wattiez",,,way
"Rue Gérard",,,way
"Rue Gontrand Bachy",,,way
"Rue Grand-Route",,,way
"Rue Grande",,,way
"Rue Guy de Brès",,,way
"Rue Hauzeur",,,way
"Rue Hector Charlez",,,way
"Rue Hector Delanois",,,way
"Rue Hector L'Hoir",,,way
"Rue Hector Voituron",,,way
"Rue Henri Culot",,,way
"Rue Henri Deruelles",,,way
"Rue Henri Dunant",,,way
"Rue Henri Glépin",,,way
"Rue Henri Rapez",,,way
"Rue Houzeau",,,way
"Rue Irma Fiévez",,,way
"Rue Jacqmotte",,,way
"Rue Jacques Prévert",,,way
"Rue Jacques de Guise",,,way
"Rue Jean Jaurès",,,way
"Rue Jean Locoge",,,way
"Rue Jean Manne",,,way
"Rue Jean Van Den Eeden",,,way
"Rue Jean Van den Eeden",,,way
"Rue Jean-Baptiste Demol",,,way
"Rue Joseph Delsaut",,,way
"Rue Joseph Hubert",,,way
"Rue Joseph Wauters",,,way
"Rue Jules Antheunis",,,way
"Rue Jules Beresse",,,way
"Rue Jules Brabant",,,way
"Rue Jules Cornet",,,way
"Rue Jules Goffin",,,way
"Rue Jules Hoyois",,,way
"Rue Kincamps",,,way
"Rue Lamir",,,way
"Rue Lecat",,,way
"Rue Lefebvre",,,way
"Rue Léon Dewolf",,,way
"Rue Léon Flament",,,way
"Rue Léon Navez",,,way
"Rue Léon Save",,,way
"Rue Léopold II",,,way
"Rue Léopold III",,,way
"Rue Lloyd Georges",,,way
"Rue Louis Caty",,,way
"Rue Louis Lévêque",,,way
"Rue Louis Piérard",,,way
"Rue Louis Piérart",,,way
"Rue Louise Cambier",,,way
"Rue Lucidel",,,way
"Rue Mac Donald",,,way
"Rue Madame Naveau",,,way
"Rue Madeleine",,,way
"Rue Malapert",,,way
"Rue Marais à Chardons",,,way
"Rue Marcel Beaufays",,,way
"Rue Marcel Dehon",,,way
"Rue Marcel Gillis",,,way
"Rue Marcel Stievenart",,,way
"Rue Marie Joyle",,,way
"Rue Marthe Sigart",,,way
"Rue Martial Nicodème",,,way
"Rue Mathys",,,way
"Rue Maurice Flament",,,way
"Rue Maurice Ghislain",,,way
"Rue Meurisse",,,way
"Rue Molière",,,way
"Rue Mon Plaisir",,,way
"Rue Monclair",,,way
"Rue Moncoureur",,,way
"Rue Mont Anzin",,,way
"Rue Mouzin",,,way
"Rue Nestor Dehon",,,way
"Rue Neuve",,,way
"Rue Nicolas d'Hardenpont",,,way
"Rue Notre-Dame",,,way
"Rue Notre-Dame Débonnaire",,,way
"Rue Notre-Dame de Tongres",,,way
"Rue Notre-Dame du Petit Nimy",,,way
"Rue Nouvelle",,,way
"Rue Nouvelle Chasse",,,way
"Rue Oscar Sturbois",,,way
"Rue Ottelet",,,way
"Rue P. de Meester de Heyndonck",,,way
"Rue Pattey",,,way
"Rue Paul Dufour",,,way
"Rue Paul Verlaine",,,way
"Rue Paul-Henri Spaak",,,way
"Rue Périer",,,way
"Rue Petite Sorcière",,,way
"Rue Philippe Capiaumont",,,way
"Rue Piedsente du Moulin",,,way
"Rue Pierre Dewit",,,way
"Rue Pierre Dunand",,,way
"Rue Pierre Hennebert",,,way
"Rue Pierre-Joseph Duménil",,,way
"Rue Pierre-Joseph Leclercq",,,way
"Rue Rabelais",,,way
"Rue Rachot",,,way
"Rue Raoul Follereau",,,way
"Rue Raoul Godfroid",,,way
"Rue Raulier",,,way
"Rue René Descartes",,,way
"Rue René Noël",,,way
"Rue Richard Stiévenart",,,way
"Rue Richebé - Avenue Demerbe",,,way
"Rue Robert Pingot",,,way
"Rue Rogier",,,way
"Rue Roland de Lassus",,,way
"Rue Sablonnière",,,way
"Rue Saine-Apoline",,,way
"Rue Saint-Hubert",,,way
"Rue Saint-Jean",,,way
"Rue Saint-Lazare",,,way
"Rue Saint-Léger",,,way
"Rue Saint-Luc",,,way
"Rue Saint-Macaire",,,way
"Rue Saint-Paul",,,way
"Rue Sainte-Anne",,,way
"Rue Sainte-Appoline",,,way
"Rue Sainte-Barbe",,,way
"Rue Sainte-Dorothée",,,way
"Rue Sainte-Félicité",,,way
"Rue Salvador Allende",,,way
"Rue Samson",,,way
"Rue Sans Coron",,,way
"Rue Serpentine",,,way
"Rue Sigart",,,way
"Rue Simone Veil",,,way
"Rue Simonon",,,way
"Rue Sohier",,,way
"Rue Spira",,,way
"Rue Taille Coleau",,,way
"Rue Taille Cuvelier",,,way
"Rue Taille des Vignes",,,way
"Rue Taillies",,,way
"Rue Théophile Massart",,,way
"Rue Tierne Saint-Hubert",,,way
"Rue Tournante",,,way
"Rue Traversière",,,way
"Rue Trois Crampons",,,way
"Rue Valenciennoise",,,way
"Rue Verte",,,way
"Rue Victor Baudour",,,way
"Rue Victor Dejardin",,,way
"Rue Victor Demerbe",,,way
"Rue Victor Dieu",,,way
"Rue Victor Hugo",,,way
"Rue Vieille Chasse",,,way
"Rue Vieille Église",,,way
"Rue Vieille Haine",,,way
"Rue Vilain XIIII",,,way
"Rue Vilaine",,,way
"Rue Vincent Van Gogh",,,way
"Rue Vital Culot",,,way
"Rue Voltaire",,,way
"Rue à Charettes",,,way
"Rue à Degrés",,,way
"Rue aux Vignes",,,way
"Rue d'Amérique",,,way
"Rue d'Asquillies",,,way
"Rue d'Egmont",,,way
"Rue d'Empire",,,way
"Rue d'En-Bas",,,way
"Rue d'Enghien",,,way
"Rue d'Erbisœul",,,way
"Rue d'Harmignies",,,way
"Rue d'Harveng",,,way
"Rue d'Havré",,,way
"Rue d'Herchies",,,way
"Rue d'Hyon",,,way
"Rue d'Ostenne",,,way
"Rue de Baudour",,,way
"Rue de Bavière",,,way
"Rue de Beaulieu",,,way
"Rue de Beauval",,,way
"Rue de Bertaimont",,,way
"Rue de Beugnies",,,way
"Rue de Binche - Chemin de Binche",,,way
"Rue de Bousies",,,way
"Rue de Boussoit",,,way
"Rue de Boussu",,,way
"Rue de Bouzanton",,,way
"Rue de Brocqueroie",,,way
"Rue de Cache-Après",,,way
"Rue de Cantimprêt",,,way
"Rue de Caraman",,,way
"Rue de Ciply",,,way
"Rue de Condé",,,way
"Rue de Courbie",,,way
"Rue de Cuesmes",,,way
"Rue de Dinant",,,way
"Rue de Douvrain",,,way
"Rue de Flénu",,,way
"Rue de Frameries",,,way
"Rue de France",,,way
"Rue de Ghlin",,,way
"Rue de Goïspenne",,,way
"Rue de Houdain",,,way
"Rue de Jéricho",,,way
"Rue de Jurbise",,,way
"Rue de Maisières",,,way
"Rue de Malplaquet",,,way
"Rue de Mascaux",,,way
"Rue de Masnuy",,,way
"Rue de Masnuy-Saint-Jean",,,way
"Rue de Milfort",,,way
"Rue de Mons",,,way
"Rue de Monte-En-Peine",,,way
"Rue de Montreuil-sous-Bois",,,way
"Rue de Naast",,,way
"Rue de Niamey",,,way
"Rue de Nimy",,,way
"Rue de Nouvelles",,,way
"Rue de Pâturages",,,way
"Rue de Péronnes",,,way
"Rue de Quaregnon",,,way
"Rue de Quaregnon - Avenue du Champ de Bataille",,,way
"Rue de Quaregon",,,way
"Rue de Robertsart",,,way
"Rue de Roumanie",,,way
"Rue de Saint-Amand",,,way
"Rue de Saint-Antoine",,,way
"Rue de Saint-Denis",,,way
"Rue de Saint-Symphorien",,,way
"Rue de Spiennes",,,way
"Rue de Strasbourg",,,way
"Rue de Thirimont",,,way
"Rue de Tournai",,,way
"Rue de Vellereille",,,way
"Rue de Vellereille-Le-Sec",,,way
"Rue de Verapaz",,,way
"Rue de Ville-sur-Haine",,,way
"Rue de Villers",,,way
"Rue de l'Agace",,,way
"Rue de l'Aigle",,,way
"Rue de l'Alchimiste",,,way
"Rue de l'Anglais",,,way
"Rue de l'Argilière",,,way
"Rue de l'Armistice",,,way
"Rue de l'Arsenal",,,way
"Rue de l'Athénée",,,way
"Rue de l'Âtre",,,way
"Rue de l'Aubrecheuil",,,way
"Rue de l'Auflette",,,way
"Rue de l'Aulnoye",,,way
"Rue de l'Aviation",,,way
"Rue de l'Égalité",,,way
"Rue de l'Église",,,way
"Rue de l'Enseignement",,,way
"Rue de l'Épargne",,,way
"Rue de l'Espinette",,,way
"Rue de l'Etang Derbaix",,,way
"Rue de l'Europe",,,way
"Rue de l'Heaume",,,way
"Rue de l'Héribus",,,way
"Rue de l'Hurtebise",,,way
"Rue de l'Indépendance",,,way
"Rue de l'Industrie",,,way
"Rue de l'Oratoire",,,way
"Rue de l'Orbette",,,way
"Rue de l'Yser",,,way
"Rue de la Barrière",,,way
"Rue de la Biche",,,way
"Rue de la Boulangerie",,,way
"Rue de la Briqueterie",,,way
"Rue de la Brisée",,,way
"Rue de la Bruyère",,,way
"Rue de la Butte",,,way
"Rue de la Cascade",,,way
"Rue de la Casse",,,way
"Rue de la Cense Gain",,,way
"Rue de la Chaussée",,,way
"Rue de la Chênaie",,,way
"Rue de la Cimenterie",,,way
"Rue de la Cité",,,way
"Rue de la Clairière",,,way
"Rue de la Clef",,,way
"Rue de la Commune",,,way
"Rue de la Coupe",,,way
"Rue de la Couronne",,,way
"Rue de la Croix-Rouge",,,way
"Rue de la Culture",,,way
"Rue de la Déportation",,,way
"Rue de la Drève",,,way
"Rue de la Faïencerie",,,way
"Rue de la Ferme Lacroix",,,way
"Rue de la Filature",,,way
"Rue de la Fonderie",,,way
"Rue de la Fontaine",,,way
"Rue de la Forge",,,way
"Rue de la Fourmilière",,,way
"Rue de la Fraide",,,way
"Rue de la Garenne",,,way
"Rue de la Genièvrerie",,,way
"Rue de la Goëtte",,,way
"Rue de la Goulette",,,way
"Rue de la Grande Triperie",,,way
"Rue de la Grosse Pomme",,,way
"Rue de la Haie Fourrée",,,way
"Rue de la Halle",,,way
"Rue de la Houssière",,,way
"Rue de la Lanterne",,,way
"Rue de la Liberté",,,way
"Rue de la Licorne",,,way
"Rue de la Limerie",,,way
"Rue de la Limite",,,way
"Rue de la Lisière",,,way
"Rue de la Louisiane",,,way
"Rue de la Malogne",,,way
"Rue de la Mine",,,way
"Rue de la Motte",,,way
"Rue de la Mottelette",,,way
"Rue de la Mutualité",,,way
"Rue de la Paix",,,way
"Rue de la Peine Perdue",,,way
"Rue de la Perche",,,way
"Rue de la Petite Boucherie",,,way
"Rue de la Petite Bruyère",,,way
"Rue de la Petite Guirlande",,,way
"Rue de la Petite Propriété Terrienne",,,way
"Rue de la Petite Triperie",,,way
"Rue de la Place",,,way
"Rue de la Poire d'Or",,,way
"Rue de la Poste",,,way
"Rue de la Poterie",,,way
"Rue de la Prévoyance",,,way
"Rue de la Quéwette",,,way
"Rue de la Raquette",,,way
"Rue de la Régence",,,way
"Rue de la Résistance",,,way
"Rue de la Réunion",,,way
"Rue de la Roche",,,way
"Rue de la Savonnerie",,,way
"Rue de la Seignerie",,,way
"Rue de la Seuwe",,,way
"Rue de la Soupe Populaire",,,way
"Rue de la Station",,,way
"Rue de la Sucrerie",,,way
"Rue de la Taille des Mères",,,way
"Rue de la Tannerie",,,way
"Rue de la Terre Bêchée",,,way
"Rue de la Terre du Prince",,,way
"Rue de la Tour Auberon",,,way
"Rue de la Trouille",,,way
"Rue de la Vignette",,,way
"Rue de la Voussure",,,way
"Rue des 4 Fils Aymon",,,way
"Rue des Amandiers",,,way
"Rue des Américains",,,way
"Rue des Amis",,,way
"Rue des Amoureux",,,way
"Rue des Anglais",,,way
"Rue des Anneaux",,,way
"Rue des Apôtres",,,way
"Rue des Arbalestriers",,,way
"Rue des Archers",,,way
"Rue des Arquebusiers",,,way
"Rue des Barbelés",,,way
"Rue des Belneux",,,way
"Rue des Bénédictines",,,way
"Rue des Berceaux",,,way
"Rue des Blanches Fontaines",,,way
"Rue des Blancs Mouchons",,,way
"Rue des Bleuets",,,way
"Rue des Bosquets",,,way
"Rue des Brasseurs",,,way
"Rue des Bruyères",,,way
"Rue des Cabuteries",,,way
"Rue des Caches",,,way
"Rue des Cailles",,,way
"Rue des Canadiens",,,way
"Rue des Canonniers",,,way
"Rue des Capucins",,,way
"Rue des Carrières",,,way
"Rue des Casemates",,,way
"Rue des Castillons",,,way
"Rue des Champs",,,way
"Rue des Chartriers",,,way
"Rue des Cheminots",,,way
"Rue des Chrysanthèmes",,,way
"Rue des Cinq Visages",,,way
"Rue des Clairs Logis",,,way
"Rue des Clercs",,,way
"Rue des Collines",,,way
"Rue des Combattants",,,way
"Rue des Compagnons",,,way
"Rue des Cosmonautes",,,way
"Rue des Croix",,,way
"Rue des Croix Projetées",,,way
"Rue des Croix du Feu",,,way
"Rue des Dames",,,way
"Rue des Déportés",,,way
"Rue des Dominicains",,,way
"Rue des Droits de l'Homme",,,way
"Rue des Durmenés",,,way
"Rue des Échelles",,,way
"Rue des Écoles",,,way
"Rue des Écoliers",,,way
"Rue des Écossais",,,way
"Rue des Épingliers",,,way
"Rue des Étampes",,,way
"Rue des Fabriques",,,way
"Rue des Faubourgs",,,way
"Rue des Fillettes",,,way
"Rue des Fossés",,,way
"Rue des Fours à Chaux",,,way
